Uri,Paint,Author,Museum,Genre,Movement,Content
http://www.wikidata.org/entity/Q2429754,Sleeping Cupid,Caravaggio,Palazzo Pitti,mythological painting,Baroque,Cupido Cupido
http://www.wikidata.org/entity/Q2397593,Tavola Doria,Leonardo da Vinci,Uffizi,history painting,High Renaissance,Battaglia di Anghiari
http://www.wikidata.org/entity/Q2390224,Wilgefortis Triptych,Hieronymus Bosch,Gallerie dell'Accademia,religious art,Flemish Primitives,Vilgefortis Vilgefortis
http://www.wikidata.org/entity/Q2338417,The Martyrdom of Saint Matthew,Caravaggio,San Luigi dei Francesi Church,religious art,Baroque,Matteo apostolo ed evangelista uomo
http://www.wikidata.org/entity/Q2337873,The Inspiration of Saint Matthew,Caravaggio,Contarelli Chapel,religious art,Baroque,Matteo apostolo ed evangelista angelo
http://www.wikidata.org/entity/Q2327715,Adoration of the Shepherds,Caravaggio,Regional museum of Messina,religious art,Baroque,donna Maria Bambino Gesù ragazzo
http://www.wikidata.org/entity/Q2325834,Ecce Homo,Caravaggio,Palazzo Bianco,religious art,Baroque,Gesù uomo
http://www.wikidata.org/entity/Q23008305,Portrait of the Artist's Sisters Playing Chess,Sofonisba Anguissola,Cremona,group portrait,mannerism,scacchiera Europa Anguissola scacchi Lucia Anguissola lavoro domestico ragazza donna
http://www.wikidata.org/entity/Q2293936,Young Sick Bacchus,Caravaggio,Galleria Borghese,self-portrait,Baroque,Caravaggio Caravaggio
http://www.wikidata.org/entity/Q2284829,Sacrifice of Isaac,Caravaggio,Uffizi,religious art,Baroque,Abramo angelo Isacco
http://www.wikidata.org/entity/Q2277635,The Raising of Lazarus,Caravaggio,Regional museum of Messina,religious art,Baroque,uomo Gesù
http://www.wikidata.org/entity/Q2273517,Conversion on the Way to Damascus,Caravaggio,Cerasi Chapel,religious art,Baroque,conversione di Paolo
http://www.wikidata.org/entity/Q2270291,Basket of Fruit,Caravaggio,Pinacoteca Ambrosiana,still life,Baroque,uva pera mela fico foglia cesto
http://www.wikidata.org/entity/Q2268013,Madonna and Child and Two Angels,Sandro Botticelli,National Museum of Capodimonte,religious art,Early Renaissance,madre ragazzo Bambino Gesù Maria donna
http://www.wikidata.org/entity/Q2264942,The Flagellation of Christ,Caravaggio,National Museum of Capodimonte,religious art,Baroque,uomo Gesù
http://www.wikidata.org/entity/Q21204021,"Portrait Group with the Artist’s Father, Brother and Sister",Sofonisba Anguissola,Cremona,group portrait,mannerism,cane famiglia
http://www.wikidata.org/entity/Q2097931,Supper at Emmaus,Caravaggio,Pinacoteca di Brera,religious art,Baroque,Gesù eucaristia
http://www.wikidata.org/entity/Q2066739,San Zeno Altarpiece,Andrea Mantegna,Basilica of San Zeno,religious art,Renaissance,angelo Maria madre Bambino Gesù ragazzo donna
http://www.wikidata.org/entity/Q2046100,Flora,Titian,Uffizi,allegory,Venetian school,capelli lunghi Camicia biondi Flora donna
http://www.wikidata.org/entity/Q204243,St. Roch in Glory,Jacopo Tintoretto,Scuola Grande di San Rocco,religious art,mannerism,umano San Rocco
http://www.wikidata.org/entity/Q20019223,Portrait of Child (by Gianlorenzo Bernini),Gian Lorenzo Bernini,Galleria Borghese,portrait,Baroque,ragazzo
http://www.wikidata.org/entity/Q19904761,David with Head of Goliath,Gian Lorenzo Bernini,Galleria Nazionale d'Arte Antica,religious art,Baroque,Golia Davide
http://www.wikidata.org/entity/Q19904754,Self Portrait of Gianlorenzo Bernini (1638-40),Gian Lorenzo Bernini,Galleria Borghese,self-portrait,Baroque,Gian Lorenzo Bernini
http://www.wikidata.org/entity/Q19904750,Self Portrait of Gianlorenzo Bernini (1630),Gian Lorenzo Bernini,Uffizi Gallery,self-portrait,Baroque,Gian Lorenzo Bernini
http://www.wikidata.org/entity/Q19882485,Portrait of Pope Urban VIII,Gian Lorenzo Bernini,Galleria Nazionale d'Arte Antica,portrait,Baroque,papa Urbano VIII
http://www.wikidata.org/entity/Q19882428,Self Portrait of Gianlorenzo Bernini (1623),Gian Lorenzo Bernini,Galleria Borghese,self-portrait,Baroque,Gian Lorenzo Bernini
http://www.wikidata.org/entity/Q1899740,Assumption of the Virgin,Titian,Santa Maria Gloriosa dei Frari,religious art,High Renaissance,donna donna Assunzione di Maria Maria Maria Assunzione di Maria
http://www.wikidata.org/entity/Q180632,Pope Paul III and his Grandsons,Titian,National Museum of Capodimonte,portrait,Venetian school,Ottavio Farnese Alessandro Farnese il Giovane papa Paolo III
http://www.wikidata.org/entity/Q1778000,Baronci Altarpiece,Evangelista da Pian di Meleto,Tosio Martinengo Gallery,religious art,High Renaissance,angelo angelo
http://www.wikidata.org/entity/Q16600034,The Fall of the Rebel Angels,Domenico di Pace Beccafumi,Pinacoteca Nazionale,religious art,mannerism,angelo Arcangelo Michele
http://www.wikidata.org/entity/Q16585848,Madonna with child,Paolo Veronese,Castelvecchio Museum,religious art,mannerism,Bambino Gesù Maria
http://www.wikidata.org/entity/Q16534183,Good Luck,Caravaggio,Capitoline Museums,genre art,Baroque,donna uomo divinazione
http://www.wikidata.org/entity/Q1638622,Adoration of the Magi,Leonardo da Vinci,"Leonardo, room 15",religious art,Renaissance,Bambino Gesù Adorazione dei Magi Maria donna Maria donna Adorazione dei Magi Bambino Gesù
http://www.wikidata.org/entity/Q1636216,Portinari Altarpiece,Hugo van der Goes,Uffizi,religious art,Flemish Primitives,ragazzo capelli lunghi Maria donna Maria Maddalena Bambino Gesù
